Date,8035_Open,8035_High,8035_Low,8035_Close,4186_Open,4186_High,4186_Low,4186_Close,5803_Open,5803_High,5803_Low,5803_Close,6508_Open,6508_High,6508_Low,6508_Close,6504_Open,6504_High,6504_Low,6504_Close,5016_Open,5016_High,5016_Low,5016_Close,6920_Open,6920_High,6920_Low,6920_Close,6857_Open,6857_High,6857_Low,6857_Close,5801_Open,5801_High,5801_Low,5801_Close,5802_Open,5802_High,5802_Low,5802_Close
2025-03-03,21712.25,21760.58,21335.32,21630.1,3510.63,3518.48,3448.78,3449.76,1025.53,1037.26,1001.75,1010.22,4486.91,4515.7,4400.53,4515.7,6459.35,6463.23,6347.92,6386.68,,,,,13218.82,13248.23,12851.08,13017.79,8277.96,8295.85,7979.8,8078.19,615.53,615.53,603.3,604.66,634.33,637.55,626.56,630.62
2025-03-04,21001.88,21808.9,20881.07,21697.76,3399.69,3407.55,3259.31,3282.87,961.35,970.31,921.28,946.04,4448.51,4448.51,4309.35,4347.74,6289.78,6323.69,6170.59,6282.03,,,,,12527.47,12885.4,12498.06,12738.31,7454.04,7753.19,7349.68,7728.35,571.16,572.81,536.78,551.54,619.16,620.95,601.13,609.61
2025-03-05,21688.09,21881.39,21296.66,21296.66,3259.31,3293.67,3247.53,3266.18,962.33,1020.15,956.95,1016.24,4347.74,4395.73,4318.95,4333.34,6327.57,6373.11,6280.09,6352.76,,,,,12851.08,13566.94,12802.05,13331.59,7737.29,7906.25,7692.57,7705.49,569.6,587.08,566.21,575.82,612.35,622.86,612.35,618.68
2025-03-06,21446.47,21562.45,20827.91,21050.21,3288.76,3373.19,3276.98,3335.88,1026.67,1028.95,978.45,998.49,4323.74,4434.12,4318.95,4357.34,6431.25,6456.45,6371.17,6438.04,,,,,13444.36,13856.22,13307.07,13375.71,7854.57,7929.11,7590.2,7640.89,579.61,582.23,545.43,555.82,626.44,637.19,622.86,630.27
2025-03-07,20431.65,20552.46,20281.85,20407.49,3248.51,3276.98,3202.37,3232.8,964.77,983.5,945.39,952.72,4290.15,4410.12,4290.15,4314.15,6346.95,6430.28,6311.1,6406.06,,,,,13159.98,13767.97,13110.95,13562.03,7435.15,7577.28,7394.41,7461.99,546.11,551.54,534.94,537.46,624.3,644.72,622.15,639.46
2025-03-10,20296.34,20953.55,20296.34,20755.42,3240.65,3288.76,3233.78,3267.16,950.6,956.63,928.61,940.34,4333.34,4371.73,4098.2,4098.2,6416.72,6447.72,6331.44,6365.36,,,,,13606.16,14915.29,13552.23,14915.29,7503.73,7751.21,7424.22,7741.27,547.17,569.51,534.26,566.59,640.06,643.76,626.92,626.92
2025-03-11,20301.17,20653.94,19943.57,20653.94,3191.57,3213.17,3108.12,3190.59,883.33,923.24,857.27,921.44,3896.65,3983.03,3848.66,3939.84,6174.47,6247.14,6147.33,6240.36,,,,,14576.98,15194.77,14263.18,14856.46,7443.1,7872.46,7359.62,7872.46,537.46,543.68,523.87,542.9,600.05,603.88,584.17,601.73
2025-03-12,20537.97,20813.42,20421.99,20620.12,3155.25,3221.02,3146.41,3194.51,916.56,950.11,916.56,930.24,3930.24,4155.79,3930.24,4122.19,6201.6,6326.6,6186.09,6276.21,,,,,14493.63,14606.4,14042.54,14062.15,7757.17,7785.99,7494.79,7506.71,545.62,557.37,534.65,534.65,605.43,637.19,605.43,630.74
2025-03-13,20968.05,21103.36,20576.62,20605.62,3263.23,3360.42,3242.62,3288.76,955.33,969.82,934.96,936.43,4170.18,4222.97,4088.6,4107.8,6330.48,6398.31,6202.57,6239.39,,,,,14292.6,14454.4,14047.44,14086.67,7752.2,7999.67,7724.37,7782.02,543.78,550.09,533.58,536.69,630.27,638.15,624.3,624.3
2025-03-14,20310.84,20832.75,20262.52,20760.26,3259.31,3345.7,3255.38,3329.99,936.43,1012.66,934.8,1011.85,4103.0,4174.98,4088.6,4146.19,6249.08,6317.88,6225.82,6301.41,,,,,14042.54,14258.28,13973.9,14228.86,7728.35,8248.14,7726.36,8194.47,535.23,573.97,532.61,567.57,624.41,636.83,623.1,634.09
2025-03-17,21117.86,21475.46,21030.88,21219.34,3345.7,3372.21,3310.36,3329.99,1029.44,1029.44,989.37,998.0,4174.98,4309.35,4155.79,4189.38,6356.64,6384.74,6300.44,6328.54,,,,,14420.08,14493.63,14150.41,14184.73,8343.55,8459.84,8202.42,8418.09,582.23,582.23,556.2,564.26,644.83,646.98,630.39,631.1
2025-03-18,21659.1,21707.42,21427.14,21581.78,3369.26,3382.02,3312.32,3363.37,1012.01,1032.53,992.79,1009.57,4256.56,4270.96,4174.98,4213.37,6362.45,6396.37,6334.35,6372.14,,,,,14366.15,14650.53,14228.86,14297.5,8522.45,8730.17,8495.62,8650.66,567.86,582.42,562.03,578.83,635.28,643.64,633.13,639.82
2025-03-19,21543.12,21905.55,21456.13,21456.13,3331.95,3386.93,3326.06,3326.06,1004.52,1010.22,953.7,955.98,4222.97,4328.54,4213.37,4213.37,6361.48,6395.4,6338.23,6356.64,818.31,857.14,817.34,848.41,14184.73,14371.05,14062.15,14062.15,8419.09,8446.91,8232.24,8232.24,569.12,572.71,554.55,556.2,642.45,663.1,642.45,648.54
2025-03-21,21330.49,21842.73,21330.49,21615.61,3313.3,3317.23,3261.27,3285.81,970.31,996.86,963.47,970.64,4213.37,4381.33,4213.37,4251.76,6366.33,6420.59,6298.5,6302.38,881.41,938.68,878.5,929.95,13934.67,14052.35,13684.61,13714.03,8281.93,8371.38,8048.37,8048.37,556.3,562.32,553.0,553.97,655.1,675.4,653.91,664.3
2025-03-24,21639.77,21639.77,21407.81,21446.47,3307.41,3315.27,3274.03,3274.03,987.41,1006.47,974.55,996.37,4424.52,4515.7,4333.34,4362.14,6317.88,6438.03,6286.87,6402.18,961.98,1009.55,929.95,936.74,13650.29,13792.48,13581.65,13767.96,8147.76,8214.35,7955.94,7955.94,551.25,553.78,546.3,546.3,675.88,676.72,661.91,666.69
2025-03-25,22007.03,22238.99,21504.46,21562.45,3328.03,3351.59,3290.72,3327.05,1040.51,1073.25,1003.38,1011.85,4395.73,4501.3,4318.95,4342.94,6499.08,6616.33,6424.47,6514.59,961.98,961.98,900.83,907.62,13900.35,14111.18,13630.68,13679.71,8080.18,8099.06,7668.71,7684.62,560.96,564.75,542.42,544.07,690.57,701.56,662.03,664.9
2025-03-26,22045.69,22108.51,21746.08,21910.38,3327.05,3336.86,3283.85,3315.27,1037.58,1043.61,1005.82,1021.46,4386.13,4414.92,4333.34,4395.73,6546.56,6581.45,6497.14,6569.82,900.83,937.71,889.18,915.39,13836.61,13924.87,13615.97,13714.03,7757.17,7797.92,7575.29,7733.31,546.98,549.7,536.78,547.95,664.3,664.66,657.85,660.36
